employee_id,month,working_days,present_days,wfh_days,leave_days,attendance_rate
E005,2025-06,20,20,1,0,100.00
E005,2025-07,23,21,1,2,91.30
E005,2025-08,21,21,0,0,100.00
E005,2025-09,22,22,2,0,100.00
E005,2025-10,23,23,0,0,100.00
E005,2025-11,20,20,2,0,100.00
E005,2025-12,23,23,2,0,100.00
E006,2025-01,22,22,1,0,100.00
E006,2025-02,20,18,0,2,90.00
E006,2025-03,21,21,2,0,100.00
E006,2025-04,22,22,1,0,100.00
E006,2025-05,22,22,0,0,100.00
E006,2025-06,20,20,1,0,100.00
E006,2025-07,23,23,0,0,100.00
E006,2025-08,21,21,1,0,100.00
E006,2025-09,22,22,0,0,100.00
E006,2025-10,23,23,2,0,100.00
E006,2025-11,20,18,1,2,90.00
E006,2025-12,23,23,0,0,100.00
E007,2025-01,22,22,0,0,100.00
E007,2025-02,20,17,2,3,85.00
E007,2025-03,21,21,1,0,100.00
E007,2025-04,22,22,0,0,100.00
E007,2025-05,22,22,1,0,100.00
E007,2025-06,20,20,0,0,100.00
E007,2025-07,23,21,1,2,91.30
E007,2025-08,21,21,0,0,100.00
E007,2025-09,22,22,2,0,100.00
E007,2025-10,23,23,1,0,100.00
E007,2025-11,20,20,0,0,100.00
E007,2025-12,23,23,1,0,100.00
E008,2025-01,22,22,2,0,100.00
E008,2025-02,20,19,1,1,95.00
E008,2025-03,21,21,0,0,100.00
E008,2025-04,22,22,1,0,100.00
E008,2025-05,22,22,0,0,100.00
E008,2025-06,20,20,1,0,100.00
E008,2025-07,23,23,0,0,100.00
E008,2025-08,21,21,2,0,100.00
E008,2025-09,22,22,1,0,100.00
E008,2025-10,23,23,0,0,100.00
E008,2025-11,20,17,1,3,85.00
E008,2025-12,23,23,0,0,100.00
E009,2025-01,22,22,1,0,100.00
E009,2025-02,20,20,0,0,100.00
E009,2025-03,21,18,1,3,85.71
E009,2025-04,22,22,0,0,100.00
E009,2025-05,22,22,1,0,100.00
E009,2025-06,20,20,0,0,100.00
E009,2025-07,23,23,2,0,100.00
E009,2025-08,21,21,1,0,100.00
E009,2025-09,22,22,0,0,100.00
E009,2025-10,23,23,1,0,100.00
E009,2025-11,20,20,0,0,100.00
E009,2025-12,23,23,2,0,100.00
E010,2025-01,22,22,0,0,100.00
E010,2025-02,20,20,1,0,100.00
E010,2025-03,21,19,1,2,90.48
E010,2025-04,22,22,1,0,100.00
E010,2025-05,22,22,0,0,100.00
E010,2025-06,20,20,3,0,100.00
E010,2025-07,23,23,1,0,100.00
E010,2025-08,21,21,0,0,100.00
E010,2025-09,22,22,2,0,100.00
E010,2025-10,23,23,0,0,100.00
E010,2025-11,20,20,2,0,100.00
E010,2025-12,23,21,2,2,91.30
E011,2025-01,22,22,1,0,100.00
E011,2025-02,20,20,0,0,100.00
E011,2025-03,21,19,1,2,90.48
E011,2025-04,22,22,0,0,100.00
E011,2025-05,22,22,2,0,100.00
E011,2025-06,20,20,1,0,100.00
E011,2025-07,23,23,0,0,100.00
E011,2025-08,21,19,1,2,90.48
E011,2025-09,22,22,0,0,100.00
E011,2025-10,23,23,2,0,100.00
E011,2025-11,20,20,1,0,100.00
E011,2025-12,23,23,0,0,100.00
E012,2025-01,22,22,0,0,100.00
E012,2025-02,20,20,1,0,100.00
E012,2025-03,21,18,0,3,85.71
E012,2025-04,22,22,2,0,100.00
E012,2025-05,22,22,1,0,100.00
E012,2025-06,20,20,0,0,100.00
E012,2025-07,23,23,1,0,100.00
E012,2025-08,21,21,0,0,100.00
E012,2025-09,22,22,2,0,100.00
E012,2025-10,23,23,1,0,100.00
E012,2025-11,20,20,0,0,100.00
E012,2025-12,23,23,1,0,100.00
E013,2025-01,22,22,1,0,100.00
E013,2025-02,20,20,0,0,100.00
E013,2025-03,21,21,2,0,100.00
E013,2025-04,22,20,1,2,90.91
E013,2025-05,22,22,0,0,100.00
E013,2025-06,20,20,1,0,100.00
E013,2025-07,23,23,0,0,100.00
E013,2025-08,21,18,2,3,85.71
E013,2025-09,22,22,1,0,100.00
E013,2025-10,23,23,0,0,100.00
E013,2025-11,20,20,1,0,100.00
E013,2025-12,23,23,0,0,100.00
E014,2025-01,22,22,0,0,100.00
E014,2025-02,20,20,2,0,100.00
E014,2025-03,21,21,1,0,100.00
E014,2025-04,22,19,0,3,86.36
E014,2025-05,22,22,1,0,100.00
E014,2025-06,20,20,0,0,100.00
E014,2025-07,23,23,2,0,100.00
E014,2025-08,21,21,1,0,100.00
E014,2025-09,22,22,0,0,100.00
E014,2025-10,23,23,1,0,100.00
E014,2025-11,20,20,0,0,100.00
E014,2025-12,23,23,1,0,100.00
E015,2025-01,22,22,2,0,100.00
E015,2025-02,20,20,1,0,100.00
E015,2025-03,21,21,1,0,100.00
E015,2025-04,22,21,1,1,95.45
E015,2025-05,22,22,0,0,100.00
E015,2025-06,20,20,3,0,100.00
E015,2025-07,23,23,1,0,100.00
E015,2025-08,21,21,0,0,100.00
E015,2025-09,22,20,2,2,90.91
E015,2025-10,23,23,0,0,100.00
E015,2025-11,20,20,1,0,100.00
E015,2025-12,23,23,1,0,100.00
E016,2025-01,22,22,1,0,100.00
E016,2025-02,20,20,0,0,100.00
E016,2025-03,21,21,1,0,100.00
E016,2025-04,22,22,0,0,100.00
E016,2025-05,22,19,2,3,86.36
E016,2025-06,20,20,1,0,100.00
E016,2025-07,23,23,0,0,100.00
E016,2025-08,21,21,1,0,100.00
E016,2025-09,22,22,0,0,100.00
E016,2025-10,23,23,1,0,100.00
E016,2025-11,20,20,0,0,100.00
E016,2025-12,23,23,2,0,100.00
E017,2025-01,22,22,0,0,100.00
E017,2025-02,20,20,1,0,100.00
E017,2025-03,21,21,0,0,100.00
E017,2025-04,22,22,2,0,100.00
E017,2025-05,22,20,1,2,90.91
E017,2025-06,20,20,0,0,100.00
E017,2025-07,23,23,1,0,100.00
E017,2025-08,21,21,0,0,100.00
E017,2025-09,22,19,1,3,86.36
E017,2025-10,23,23,0,0,100.00
E017,2025-11,20,20,2,0,100.00
E017,2025-12,23,23,1,0,100.00
E018,2025-01,22,22,1,0,100.00
E018,2025-02,20,20,0,0,100.00
E018,2025-03,21,21,2,0,100.00
E018,2025-04,22,22,1,0,100.00
E018,2025-05,22,20,0,2,90.91
E018,2025-06,20,20,1,0,100.00
E018,2025-07,23,23,0,0,100.00
E018,2025-08,21,21,1,0,100.00
E018,2025-09,22,22,0,0,100.00
E018,2025-10,23,23,2,0,100.00
E018,2025-11,20,20,1,0,100.00
E018,2025-12,23,23,0,0,100.00
E019,2025-01,22,22,0,0,100.00
E019,2025-02,20,20,2,0,100.00
E019,2025-03,21,21,1,0,100.00
E019,2025-04,22,22,0,0,100.00
E019,2025-05,22,22,1,0,100.00
E019,2025-06,20,17,0,3,85.00
E019,2025-07,23,23,1,0,100.00
E019,2025-08,21,21,0,0,100.00
E019,2025-09,22,20,2,2,90.91
E019,2025-10,23,23,1,0,100.00
E019,2025-11,20,20,0,0,100.00
E019,2025-12,23,23,1,0,100.00
E020,2025-01,22,22,2,0,100.00
E020,2025-02,20,20,1,0,100.00
E020,2025-03,21,21,1,0,100.00
E020,2025-04,22,22,1,0,100.00
E020,2025-05,22,22,0,0,100.00
E020,2025-06,20,18,2,2,90.00
E020,2025-07,23,23,0,0,100.00
E020,2025-08,21,21,2,0,100.00
E020,2025-09,22,22,2,0,100.00
E020,2025-10,23,23,0,0,100.00
E020,2025-11,20,20,1,0,100.00
E020,2025-12,23,23,1,0,100.00
